current time 20220418_002206
creating new summary file
argv: ['--local_rank=0', '--logdir', '48,32,8', '--dataset=dtu_yao', '--batch_size=1', '--trainpath=./mvs_training/', '--trainlist', 'lists/dtu/train.txt', '--testlist', 'lists/dtu/test.txt', '--numdepth=192', '--depth_inter_r', '4,2,1', '--dlossw', '0.5,1.0,2.0', '--batch_size', '1', '--eval_freq', '3']
################################  args  ################################
mode      	train                         	<class 'str'>       
model     	mvsnet                        	<class 'str'>       
device    	cuda                          	<class 'str'>       
dataset   	dtu_yao                       	<class 'str'>       
trainpath 	./mvs_training/               	<class 'str'>       
testpath  	./mvs_training/               	<class 'str'>       
trainlist 	lists/dtu/train.txt           	<class 'str'>       
testlist  	lists/dtu/test.txt            	<class 'str'>       
epochs    	2                             	<class 'int'>       
lr        	0.001                         	<class 'float'>     
lrepochs  	10,12,14:2                    	<class 'str'>       
wd        	0.0                           	<class 'float'>     
batch_size	1                             	<class 'int'>       
numdepth  	192                           	<class 'int'>       
interval_scale	1.06                          	<class 'float'>     
loadckpt  	None                          	<class 'NoneType'>  
logdir    	48,32,8                       	<class 'str'>       
resume    	False                         	<class 'bool'>      
summary_freq	50                            	<class 'int'>       
save_freq 	1                             	<class 'int'>       
eval_freq 	3                             	<class 'int'>       
seed      	1                             	<class 'int'>       
pin_m     	False                         	<class 'bool'>      
local_rank	0                             	<class 'int'>       
share_cr  	False                         	<class 'bool'>      
ndepths   	48,32,8                       	<class 'str'>       
depth_inter_r	4,2,1                         	<class 'str'>       
dlossw    	0.5,1.0,2.0                   	<class 'str'>       
cr_base_chs	8,8,8                         	<class 'str'>       
grad_method	detach                        	<class 'str'>       
using_apex	False                         	<class 'bool'>      
sync_bn   	False                         	<class 'bool'>      
opt_level 	O0                            	<class 'str'>       
keep_batchnorm_fp32	None                          	<class 'NoneType'>  
loss_scale	None                          	<class 'NoneType'>  
########################################################################
**********netphs:[48, 32, 8], depth_intervals_ratio:[4.0, 2.0, 1.0],  grad:detach, chs:[8, 8, 8]************
*************feature extraction arch mode:fpn****************
start at epoch 0
Number of model parameters: 934304
Let's use 1 GPUs!
mvsdataset kwargs {}
dataset train metas: 27097
mvsdataset kwargs {}
dataset test metas: 7546
Epoch 0:
Epoch 0/2, Iter 0/27097, lr 0.000335, train loss = 332.328, depth loss = 94.844, time = 26.502
Epoch 0/2, Iter 1250/27097, lr 0.001000, train loss = 134.348, depth loss = 37.245, time = 1.330
Epoch 0/2, Iter 1300/27097, lr 0.001000, train loss = 15.131, depth loss = 3.997, time = 1.335
Epoch 0/2, Iter 1350/27097, lr 0.001000, train loss = 57.383, depth loss = 16.251, time = 1.407
Epoch 0/2, Iter 1400/27097, lr 0.001000, train loss = 35.696, depth loss = 10.200, time = 1.389
Epoch 0/2, Iter 1450/27097, lr 0.001000, train loss = 13.478, depth loss = 3.609, time = 1.314
Epoch 0/2, Iter 1500/27097, lr 0.001000, train loss = 23.137, depth loss = 6.418, time = 1.262
Epoch 0/2, Iter 1550/27097, lr 0.001000, train loss = 30.057, depth loss = 8.357, time = 1.314
Epoch 0/2, Iter 1600/27097, lr 0.001000, train loss = 6.436, depth loss = 1.590, time = 1.275
Epoch 0/2, Iter 1650/27097, lr 0.001000, train loss = 95.108, depth loss = 26.166, time = 1.369
Epoch 0/2, Iter 1700/27097, lr 0.001000, train loss = 129.278, depth loss = 34.921, time = 1.327
Epoch 0/2, Iter 1750/27097, lr 0.001000, train loss = 7.500, depth loss = 1.844, time = 1.341
Epoch 0/2, Iter 1800/27097, lr 0.001000, train loss = 3.250, depth loss = 0.727, time = 1.404
Epoch 0/2, Iter 1850/27097, lr 0.001000, train loss = 32.472, depth loss = 9.084, time = 1.269
Epoch 0/2, Iter 1900/27097, lr 0.001000, train loss = 43.960, depth loss = 12.028, time = 1.366
Epoch 0/2, Iter 1950/27097, lr 0.001000, train loss = 11.641, depth loss = 3.147, time = 1.316
Epoch 0/2, Iter 2000/27097, lr 0.001000, train loss = 18.798, depth loss = 4.899, time = 1.234
Epoch 0/2, Iter 2050/27097, lr 0.001000, train loss = 32.659, depth loss = 8.359, time = 1.382
Epoch 0/2, Iter 2100/27097, lr 0.001000, train loss = 22.192, depth loss = 6.092, time = 1.429
Epoch 0/2, Iter 2150/27097, lr 0.001000, train loss = 48.430, depth loss = 13.393, time = 1.240
Epoch 0/2, Iter 2200/27097, lr 0.001000, train loss = 48.486, depth loss = 13.861, time = 1.401
Epoch 0/2, Iter 2250/27097, lr 0.001000, train loss = 111.315, depth loss = 30.773, time = 1.262
Epoch 0/2, Iter 2300/27097, lr 0.001000, train loss = 36.359, depth loss = 10.088, time = 1.346
Epoch 0/2, Iter 2350/27097, lr 0.001000, train loss = 56.578, depth loss = 15.739, time = 1.372
Epoch 0/2, Iter 2400/27097, lr 0.001000, train loss = 199.302, depth loss = 55.562, time = 1.256
Epoch 0/2, Iter 2450/27097, lr 0.001000, train loss = 62.212, depth loss = 17.269, time = 1.306
Epoch 0/2, Iter 2500/27097, lr 0.001000, train loss = 55.183, depth loss = 15.508, time = 1.354
Epoch 0/2, Iter 2550/27097, lr 0.001000, train loss = 6.913, depth loss = 1.693, time = 1.390
Epoch 0/2, Iter 2600/27097, lr 0.001000, train loss = 19.899, depth loss = 5.406, time = 1.379
Epoch 0/2, Iter 2650/27097, lr 0.001000, train loss = 8.673, depth loss = 2.233, time = 1.369
Epoch 0/2, Iter 2700/27097, lr 0.001000, train loss = 19.556, depth loss = 5.381, time = 1.424
Epoch 0/2, Iter 2750/27097, lr 0.001000, train loss = 18.941, depth loss = 5.270, time = 1.313
Epoch 0/2, Iter 2800/27097, lr 0.001000, train loss = 8.246, depth loss = 2.238, time = 1.232
Epoch 0/2, Iter 2850/27097, lr 0.001000, train loss = 29.727, depth loss = 8.133, time = 1.289
Epoch 0/2, Iter 2900/27097, lr 0.001000, train loss = 47.151, depth loss = 12.382, time = 1.270
Epoch 0/2, Iter 2950/27097, lr 0.001000, train loss = 45.506, depth loss = 12.726, time = 1.360
Epoch 0/2, Iter 3000/27097, lr 0.001000, train loss = 103.312, depth loss = 29.426, time = 1.405
Epoch 0/2, Iter 3050/27097, lr 0.001000, train loss = 192.575, depth loss = 53.921, time = 1.164
Epoch 0/2, Iter 3100/27097, lr 0.001000, train loss = 88.593, depth loss = 24.864, time = 1.334
Epoch 0/2, Iter 3150/27097, lr 0.001000, train loss = 48.161, depth loss = 13.535, time = 1.245
Epoch 0/2, Iter 3200/27097, lr 0.001000, train loss = 8.732, depth loss = 2.267, time = 1.340
Epoch 0/2, Iter 3250/27097, lr 0.001000, train loss = 4.714, depth loss = 1.140, time = 1.275
Epoch 0/2, Iter 3300/27097, lr 0.001000, train loss = 21.675, depth loss = 5.917, time = 1.364
Epoch 0/2, Iter 3350/27097, lr 0.001000, train loss = 175.287, depth loss = 49.763, time = 1.359
Epoch 0/2, Iter 3400/27097, lr 0.001000, train loss = 29.901, depth loss = 8.351, time = 1.393
Epoch 0/2, Iter 3450/27097, lr 0.001000, train loss = 126.328, depth loss = 36.066, time = 1.350
Epoch 0/2, Iter 3500/27097, lr 0.001000, train loss = 18.971, depth loss = 5.227, time = 1.349
Epoch 0/2, Iter 3550/27097, lr 0.001000, train loss = 21.635, depth loss = 5.197, time = 1.378
Epoch 0/2, Iter 3600/27097, lr 0.001000, train loss = 17.559, depth loss = 4.885, time = 1.307
Epoch 0/2, Iter 3650/27097, lr 0.001000, train loss = 23.820, depth loss = 6.643, time = 1.245
Epoch 0/2, Iter 3700/27097, lr 0.001000, train loss = 127.158, depth loss = 35.138, time = 1.330
Epoch 0/2, Iter 3750/27097, lr 0.001000, train loss = 19.214, depth loss = 5.325, time = 1.349
Epoch 0/2, Iter 3800/27097, lr 0.001000, train loss = 19.181, depth loss = 5.195, time = 1.369
Epoch 0/2, Iter 3850/27097, lr 0.001000, train loss = 14.527, depth loss = 3.974, time = 1.300
Epoch 0/2, Iter 3900/27097, lr 0.001000, train loss = 28.871, depth loss = 8.305, time = 1.354
Epoch 0/2, Iter 3950/27097, lr 0.001000, train loss = 7.690, depth loss = 1.958, time = 1.282
Epoch 0/2, Iter 4000/27097, lr 0.001000, train loss = 18.224, depth loss = 4.850, time = 1.254
Epoch 0/2, Iter 4050/27097, lr 0.001000, train loss = 69.091, depth loss = 19.409, time = 1.363
Epoch 0/2, Iter 4100/27097, lr 0.001000, train loss = 40.580, depth loss = 11.300, time = 1.343
Epoch 0/2, Iter 4150/27097, lr 0.001000, train loss = 5.238, depth loss = 1.252, time = 1.333
Epoch 0/2, Iter 4200/27097, lr 0.001000, train loss = 9.045, depth loss = 2.294, time = 1.287
Epoch 0/2, Iter 4250/27097, lr 0.001000, train loss = 13.726, depth loss = 3.663, time = 1.308
Epoch 0/2, Iter 4300/27097, lr 0.001000, train loss = 61.011, depth loss = 17.000, time = 1.259
Epoch 0/2, Iter 4350/27097, lr 0.001000, train loss = 23.918, depth loss = 6.547, time = 1.354
Epoch 0/2, Iter 4400/27097, lr 0.001000, train loss = 22.387, depth loss = 6.063, time = 1.388
Epoch 0/2, Iter 4450/27097, lr 0.001000, train loss = 6.234, depth loss = 1.540, time = 1.318
Epoch 0/2, Iter 4500/27097, lr 0.001000, train loss = 25.408, depth loss = 6.983, time = 1.341
Epoch 0/2, Iter 4550/27097, lr 0.001000, train loss = 12.290, depth loss = 3.311, time = 1.358
Epoch 0/2, Iter 4600/27097, lr 0.001000, train loss = 16.535, depth loss = 4.541, time = 1.358
Epoch 0/2, Iter 4650/27097, lr 0.001000, train loss = 27.237, depth loss = 7.360, time = 1.329
Epoch 0/2, Iter 4700/27097, lr 0.001000, train loss = 56.146, depth loss = 15.635, time = 1.340
Epoch 0/2, Iter 4750/27097, lr 0.001000, train loss = 140.277, depth loss = 39.770, time = 1.383
Epoch 0/2, Iter 4800/27097, lr 0.001000, train loss = 38.560, depth loss = 10.784, time = 1.317
Epoch 0/2, Iter 4850/27097, lr 0.001000, train loss = 24.295, depth loss = 6.737, time = 1.359
Epoch 0/2, Iter 4900/27097, lr 0.001000, train loss = 13.879, depth loss = 3.765, time = 1.283
Epoch 0/2, Iter 4950/27097, lr 0.001000, train loss = 18.280, depth loss = 4.913, time = 1.280
Epoch 0/2, Iter 5000/27097, lr 0.001000, train loss = 53.179, depth loss = 15.079, time = 1.237
Epoch 0/2, Iter 5050/27097, lr 0.001000, train loss = 6.259, depth loss = 1.558, time = 1.345
Epoch 0/2, Iter 5100/27097, lr 0.001000, train loss = 49.039, depth loss = 13.217, time = 1.331
Epoch 0/2, Iter 5150/27097, lr 0.001000, train loss = 74.692, depth loss = 20.379, time = 1.355
Epoch 0/2, Iter 5200/27097, lr 0.001000, train loss = 17.834, depth loss = 4.809, time = 1.335
Epoch 0/2, Iter 5250/27097, lr 0.001000, train loss = 13.612, depth loss = 3.620, time = 1.269
Epoch 0/2, Iter 5300/27097, lr 0.001000, train loss = 13.933, depth loss = 3.716, time = 1.316
Epoch 0/2, Iter 5350/27097, lr 0.001000, train loss = 25.116, depth loss = 7.067, time = 1.352
Epoch 0/2, Iter 5400/27097, lr 0.001000, train loss = 14.221, depth loss = 3.905, time = 1.332
Epoch 0/2, Iter 5450/27097, lr 0.001000, train loss = 31.601, depth loss = 8.690, time = 1.328
Epoch 0/2, Iter 5500/27097, lr 0.001000, train loss = 26.239, depth loss = 7.294, time = 1.386
Epoch 0/2, Iter 5550/27097, lr 0.001000, train loss = 9.115, depth loss = 2.371, time = 1.349
Epoch 0/2, Iter 5600/27097, lr 0.001000, train loss = 22.888, depth loss = 6.426, time = 1.357
Epoch 0/2, Iter 5650/27097, lr 0.001000, train loss = 25.254, depth loss = 6.837, time = 1.308
Epoch 0/2, Iter 5700/27097, lr 0.001000, train loss = 11.499, depth loss = 2.995, time = 1.329
Epoch 0/2, Iter 5750/27097, lr 0.001000, train loss = 7.097, depth loss = 1.814, time = 1.279
Epoch 0/2, Iter 5800/27097, lr 0.001000, train loss = 11.649, depth loss = 3.160, time = 1.354
Epoch 0/2, Iter 5850/27097, lr 0.001000, train loss = 20.324, depth loss = 5.445, time = 1.336
Epoch 0/2, Iter 5900/27097, lr 0.001000, train loss = 8.222, depth loss = 2.164, time = 1.289
Epoch 0/2, Iter 5950/27097, lr 0.001000, train loss = 13.632, depth loss = 3.716, time = 1.278
Epoch 0/2, Iter 6000/27097, lr 0.001000, train loss = 11.788, depth loss = 3.096, time = 1.292
Epoch 0/2, Iter 6050/27097, lr 0.001000, train loss = 35.291, depth loss = 9.830, time = 1.348
Epoch 0/2, Iter 6100/27097, lr 0.001000, train loss = 42.827, depth loss = 12.062, time = 1.369
Epoch 0/2, Iter 6150/27097, lr 0.001000, train loss = 9.111, depth loss = 2.373, time = 1.264
Epoch 0/2, Iter 6200/27097, lr 0.001000, train loss = 14.203, depth loss = 3.869, time = 1.330
Epoch 0/2, Iter 6250/27097, lr 0.001000, train loss = 28.466, depth loss = 7.921, time = 1.344
Epoch 0/2, Iter 6300/27097, lr 0.001000, train loss = 35.954, depth loss = 9.850, time = 1.382
Epoch 0/2, Iter 6350/27097, lr 0.001000, train loss = 135.197, depth loss = 38.416, time = 1.353
Epoch 0/2, Iter 6400/27097, lr 0.001000, train loss = 14.626, depth loss = 3.908, time = 1.316
Epoch 0/2, Iter 6450/27097, lr 0.001000, train loss = 58.722, depth loss = 16.635, time = 1.280
Epoch 0/2, Iter 6500/27097, lr 0.001000, train loss = 10.097, depth loss = 2.685, time = 1.358
Epoch 0/2, Iter 6550/27097, lr 0.001000, train loss = 49.461, depth loss = 14.073, time = 1.222
Epoch 0/2, Iter 6600/27097, lr 0.001000, train loss = 22.512, depth loss = 6.110, time = 1.333
Epoch 0/2, Iter 6650/27097, lr 0.001000, train loss = 11.372, depth loss = 3.117, time = 1.297
Epoch 0/2, Iter 6700/27097, lr 0.001000, train loss = 4.439, depth loss = 1.078, time = 1.385
Epoch 0/2, Iter 6750/27097, lr 0.001000, train loss = 18.795, depth loss = 5.149, time = 1.278
Epoch 0/2, Iter 6800/27097, lr 0.001000, train loss = 39.167, depth loss = 10.806, time = 1.325
Epoch 0/2, Iter 6850/27097, lr 0.001000, train loss = 15.901, depth loss = 4.314, time = 1.279
Epoch 0/2, Iter 6900/27097, lr 0.001000, train loss = 33.224, depth loss = 9.072, time = 1.319
Epoch 0/2, Iter 6950/27097, lr 0.001000, train loss = 3.431, depth loss = 0.789, time = 1.244
Epoch 0/2, Iter 7000/27097, lr 0.001000, train loss = 54.845, depth loss = 15.355, time = 1.282
Epoch 0/2, Iter 7050/27097, lr 0.001000, train loss = 31.621, depth loss = 8.577, time = 1.349
Epoch 0/2, Iter 7100/27097, lr 0.001000, train loss = 9.676, depth loss = 2.633, time = 1.310
Epoch 0/2, Iter 7150/27097, lr 0.001000, train loss = 64.156, depth loss = 17.956, time = 1.361
Epoch 0/2, Iter 7200/27097, lr 0.001000, train loss = 24.469, depth loss = 6.666, time = 1.268
Epoch 0/2, Iter 7250/27097, lr 0.001000, train loss = 94.474, depth loss = 26.665, time = 1.232
Epoch 0/2, Iter 7300/27097, lr 0.001000, train loss = 51.453, depth loss = 14.497, time = 1.398
Epoch 0/2, Iter 7350/27097, lr 0.001000, train loss = 113.018, depth loss = 29.815, time = 1.227
Epoch 0/2, Iter 7400/27097, lr 0.001000, train loss = 20.017, depth loss = 5.423, time = 1.330
Epoch 0/2, Iter 7450/27097, lr 0.001000, train loss = 4.064, depth loss = 0.920, time = 1.358
Epoch 0/2, Iter 7500/27097, lr 0.001000, train loss = 4.673, depth loss = 1.150, time = 1.425
Epoch 0/2, Iter 7550/27097, lr 0.001000, train loss = 17.793, depth loss = 4.894, time = 1.360
Epoch 0/2, Iter 7600/27097, lr 0.001000, train loss = 63.098, depth loss = 17.279, time = 1.248
Epoch 0/2, Iter 7650/27097, lr 0.001000, train loss = 6.583, depth loss = 1.516, time = 1.304
Epoch 0/2, Iter 7700/27097, lr 0.001000, train loss = 13.105, depth loss = 3.549, time = 1.288
Epoch 0/2, Iter 7750/27097, lr 0.001000, train loss = 6.666, depth loss = 1.649, time = 1.265
Epoch 0/2, Iter 7800/27097, lr 0.001000, train loss = 82.049, depth loss = 23.890, time = 1.270
Epoch 0/2, Iter 7850/27097, lr 0.001000, train loss = 6.872, depth loss = 1.715, time = 1.353
Epoch 0/2, Iter 7900/27097, lr 0.001000, train loss = 10.971, depth loss = 2.864, time = 1.300
Epoch 0/2, Iter 7950/27097, lr 0.001000, train loss = 40.642, depth loss = 11.456, time = 1.326
Epoch 0/2, Iter 8000/27097, lr 0.001000, train loss = 15.992, depth loss = 4.231, time = 1.378
Epoch 0/2, Iter 8050/27097, lr 0.001000, train loss = 33.280, depth loss = 9.204, time = 1.359
Epoch 0/2, Iter 8100/27097, lr 0.001000, train loss = 74.905, depth loss = 20.655, time = 1.270
Epoch 0/2, Iter 8150/27097, lr 0.001000, train loss = 42.565, depth loss = 11.812, time = 1.270
Epoch 0/2, Iter 8200/27097, lr 0.001000, train loss = 8.147, depth loss = 2.045, time = 1.353
Epoch 0/2, Iter 8250/27097, lr 0.001000, train loss = 45.312, depth loss = 12.696, time = 1.335
Epoch 0/2, Iter 8300/27097, lr 0.001000, train loss = 43.999, depth loss = 12.208, time = 1.343
Epoch 0/2, Iter 8350/27097, lr 0.001000, train loss = 34.963, depth loss = 9.134, time = 1.263
Epoch 0/2, Iter 8400/27097, lr 0.001000, train loss = 76.238, depth loss = 20.950, time = 1.343
Epoch 0/2, Iter 8450/27097, lr 0.001000, train loss = 18.140, depth loss = 4.889, time = 1.287
Epoch 0/2, Iter 8500/27097, lr 0.001000, train loss = 87.178, depth loss = 24.679, time = 1.365
Epoch 0/2, Iter 8550/27097, lr 0.001000, train loss = 7.846, depth loss = 1.984, time = 1.322
Epoch 0/2, Iter 8600/27097, lr 0.001000, train loss = 30.076, depth loss = 8.316, time = 1.334
Epoch 0/2, Iter 8650/27097, lr 0.001000, train loss = 31.392, depth loss = 8.724, time = 1.283
Epoch 0/2, Iter 8700/27097, lr 0.001000, train loss = 9.146, depth loss = 2.356, time = 1.329
Epoch 0/2, Iter 8750/27097, lr 0.001000, train loss = 57.309, depth loss = 15.357, time = 1.330
Epoch 0/2, Iter 8800/27097, lr 0.001000, train loss = 55.650, depth loss = 14.199, time = 1.371
Epoch 0/2, Iter 8850/27097, lr 0.001000, train loss = 11.755, depth loss = 3.168, time = 1.361
Epoch 0/2, Iter 8900/27097, lr 0.001000, train loss = 28.014, depth loss = 7.763, time = 1.306
Epoch 0/2, Iter 8950/27097, lr 0.001000, train loss = 6.402, depth loss = 1.610, time = 1.284
Epoch 0/2, Iter 9000/27097, lr 0.001000, train loss = 24.826, depth loss = 7.013, time = 1.370
Epoch 0/2, Iter 9050/27097, lr 0.001000, train loss = 73.548, depth loss = 20.735, time = 1.307
Epoch 0/2, Iter 9100/27097, lr 0.001000, train loss = 58.490, depth loss = 16.611, time = 1.252
Epoch 0/2, Iter 9150/27097, lr 0.001000, train loss = 5.167, depth loss = 1.287, time = 1.364
Epoch 0/2, Iter 9200/27097, lr 0.001000, train loss = 51.697, depth loss = 13.937, time = 1.299
Epoch 0/2, Iter 9250/27097, lr 0.001000, train loss = 4.921, depth loss = 1.164, time = 1.361
Epoch 0/2, Iter 9300/27097, lr 0.001000, train loss = 3.951, depth loss = 1.038, time = 1.352
Epoch 0/2, Iter 9350/27097, lr 0.001000, train loss = 11.934, depth loss = 3.165, time = 1.320
Epoch 0/2, Iter 9400/27097, lr 0.001000, train loss = 22.913, depth loss = 5.832, time = 1.266
Epoch 0/2, Iter 9450/27097, lr 0.001000, train loss = 19.728, depth loss = 5.403, time = 1.393
Epoch 0/2, Iter 9500/27097, lr 0.001000, train loss = 68.965, depth loss = 19.038, time = 1.331
Epoch 0/2, Iter 9550/27097, lr 0.001000, train loss = 77.304, depth loss = 21.796, time = 1.260
Epoch 0/2, Iter 9600/27097, lr 0.001000, train loss = 28.623, depth loss = 7.667, time = 1.295
Epoch 0/2, Iter 9650/27097, lr 0.001000, train loss = 27.648, depth loss = 7.482, time = 1.390
Epoch 0/2, Iter 9700/27097, lr 0.001000, train loss = 4.625, depth loss = 1.084, time = 1.313
Epoch 0/2, Iter 9750/27097, lr 0.001000, train loss = 27.863, depth loss = 7.575, time = 1.341
Epoch 0/2, Iter 9800/27097, lr 0.001000, train loss = 26.786, depth loss = 7.328, time = 1.330
Epoch 0/2, Iter 9850/27097, lr 0.001000, train loss = 22.292, depth loss = 6.244, time = 1.265
Epoch 0/2, Iter 9900/27097, lr 0.001000, train loss = 3.693, depth loss = 0.884, time = 1.327
Epoch 0/2, Iter 9950/27097, lr 0.001000, train loss = 11.515, depth loss = 3.064, time = 1.370
Epoch 0/2, Iter 10000/27097, lr 0.001000, train loss = 9.887, depth loss = 2.578, time = 1.330
Epoch 0/2, Iter 10050/27097, lr 0.001000, train loss = 43.042, depth loss = 12.214, time = 1.366
Epoch 0/2, Iter 10100/27097, lr 0.001000, train loss = 19.041, depth loss = 5.166, time = 1.373
Epoch 0/2, Iter 10150/27097, lr 0.001000, train loss = 8.179, depth loss = 2.156, time = 1.295
Epoch 0/2, Iter 10200/27097, lr 0.001000, train loss = 29.003, depth loss = 8.068, time = 1.322
Epoch 0/2, Iter 10250/27097, lr 0.001000, train loss = 12.515, depth loss = 3.329, time = 1.420
Epoch 0/2, Iter 10300/27097, lr 0.001000, train loss = 20.652, depth loss = 5.707, time = 1.360
Epoch 0/2, Iter 10350/27097, lr 0.001000, train loss = 8.793, depth loss = 2.268, time = 1.349
Epoch 0/2, Iter 10400/27097, lr 0.001000, train loss = 27.356, depth loss = 7.496, time = 1.331
Epoch 0/2, Iter 10450/27097, lr 0.001000, train loss = 6.271, depth loss = 1.502, time = 1.282
Epoch 0/2, Iter 10500/27097, lr 0.001000, train loss = 58.377, depth loss = 16.218, time = 1.359
Epoch 0/2, Iter 10550/27097, lr 0.001000, train loss = 38.348, depth loss = 10.383, time = 1.324
Epoch 0/2, Iter 10600/27097, lr 0.001000, train loss = 37.812, depth loss = 9.773, time = 1.276
Epoch 0/2, Iter 10650/27097, lr 0.001000, train loss = 4.483, depth loss = 1.101, time = 1.293
Epoch 0/2, Iter 10700/27097, lr 0.001000, train loss = 85.747, depth loss = 23.295, time = 1.310
Epoch 0/2, Iter 10750/27097, lr 0.001000, train loss = 15.057, depth loss = 3.723, time = 1.305
Epoch 0/2, Iter 10800/27097, lr 0.001000, train loss = 43.196, depth loss = 11.954, time = 1.343
Epoch 0/2, Iter 10850/27097, lr 0.001000, train loss = 178.048, depth loss = 50.584, time = 1.380
Epoch 0/2, Iter 10900/27097, lr 0.001000, train loss = 39.212, depth loss = 10.906, time = 1.266
Epoch 0/2, Iter 10950/27097, lr 0.001000, train loss = 38.302, depth loss = 9.393, time = 1.263
Epoch 0/2, Iter 11000/27097, lr 0.001000, train loss = 22.148, depth loss = 6.233, time = 1.301
